,loss
0,0.6546939492225647
1,0.6266684889793396
2,0.6033342429569789
3,0.5813082882336208
4,0.559014185837337
5,0.538236381326403
6,0.5167075906481061
7,0.4959542649132865
8,0.47578511919294086
9,0.45749028750828336
10,0.43915147355624606
11,0.42305613926478797
12,0.40710461395127434
13,0.3921525827475956
14,0.3792381465435028
15,0.3665220081806183
16,0.355789795092174
17,0.34577084268842423
18,0.3368754650865282
19,0.3288034328392574
20,0.322131056870733
21,0.31588765297617233
22,0.3115082485335214
23,0.30571933729307993
24,0.301605875151498
25,0.2977862613541739
26,0.29420105474335806
27,0.2914488409246717
28,0.2882113324744361
29,0.2863670340606144
30,0.2836196345942361
31,0.28117348424025945
32,0.2792401305266789
33,0.2772586337157658
34,0.2757882876055581
35,0.27416775396892
36,0.272794731599944
37,0.27126393786498476
38,0.27013602469648634
39,0.26870055411543164
40,0.26766514224665505
41,0.2665601806981223
42,0.26548119272504533
43,0.264786559343338
44,0.26390366894858225
45,0.26277571788855963
46,0.2617273488215038
47,0.26099659545081
48,0.2604837851864951
49,0.2594942331314087
50,0.2587183518069131
51,0.2588933851037707
52,0.25726313420704433
53,0.25672632115227834
54,0.256224681862763
55,0.25634235548121587
56,0.2550040900707245
57,0.2547685784952981
58,0.25402978701250895
59,0.25364802139145987
60,0.25319875393595015
61,0.2529380176748548
62,0.2519752287438938
63,0.251556059718132
64,0.2510119949068342
65,0.2516085109540394
66,0.2505661958030292
67,0.25032258927822115
68,0.24960180180413383
69,0.24903291165828706
70,0.248633245910917
71,0.2483284992831094
72,0.2494609202657427
73,0.24776659096990314
74,0.24782898681504387
75,0.24702142264161792
76,0.24661056654793875
77,0.24624528842312948
78,0.24583815655538013
79,0.24565179135118212
80,0.24538932953562057
81,0.24503336208207266
82,0.24458834997245243
83,0.24431898849351066
84,0.24446403639657158
85,0.24406628949301584
86,0.243808570929936
87,0.24376069775649478
88,0.24358501476900918
89,0.24316536954471044
90,0.24235899576119013
91,0.2422338877405439
92,0.24232330258403506
93,0.24178948359830038
94,0.24241469843047006
95,0.2413595003741128
96,0.2410555805478777
97,0.24070958111967358
98,0.24090280873434886
99,0.2404077410697937
